Mes,FechaLimite,PagoNoIntereses,PagoMinimoMeses,PagoMinimo,SaldoMeses,SaldoTotal,LimiteCredito,CreditoDisponible
12 Dic - 11 Ene 2026,03-feb-2026,122210.02,19370.86,10115.18,33207.21,155417.23,166800.00,11382.77
12 Nov - 11 Dic 2025,31-dic-2025,115279.06,19470.37,9300.86,42462.89,157741.95,166800.00,9058.05
12 Oct - 11 Nov 2025,1-dic-2025,85873.47,15320.17,6731.88,48547.35,134420.82,166800.00,32379.18
12 Sep - 11 Oct 2025,31-oct-2025,91584.40,17236.34,8585.78,51395.68,142980.08,166800.00,23819.92
12 Ago - 11 Sep 2025,11-sep-2025,80055.27,19650.38,8184.10,57088.19,137143.46,166800.00,29656.54
11 Jul - 11 Ago 2025,01-sep-2025,84381.56,16126.46,5484.80,68299.52,152681.08,166800.00,14118.92
11 Jun - 11 Jul 2025,31-jul-2025,109547.18,21205.62,9035.66,26670.18,136217.36,166800.00,30582.64
11 May - 11 Jun 2025,01-jul-2025,105266.30,16134.30,6842.30,30200.26,135466.56,166800.00,31333.44
11 Abr - 11 May 2025,02-jun-2025,69475.54,17380.69,4515.91,31002.26,100477.80,166800.00,66322.20
11 Mar - 11 Abr 2025,02-may-2025,118391.30,23041.98,8383.04,38127.08,156518.38,166800.00,10281.62
11 Feb - 11 Mar 2025,31-mar-2025,96244.32,20764.56,6255.88,46450.72,142695.04,166800.00,24104.96
11 Ene - 11 Feb 2025,03-mar-2025,88531.79,20265.56,5754.56,60959.40,149491.19,166800.00,17308.81
11 Dic - 11 Ene 2025,31-ene-2025,104218.60,14096.20,6774.20,27262.46,131681.06,166800.00,35118.94
11 Sep - 11 Oct 2024,31-oct-2024,65732.23,4272.59,4272.59,0,65732.23,166800.00,101067.77
